Constituency,Const. No.,Parliament Constituency,Leading Candidate,Leading Candidate,Margin,Status,State ID,Country
THANJAVUR,30,THANJAVUR(30),MURASOLI S,MURASOLI S,319583,Result Declared,S22,India
TIRUCHIRAPPALLI,24,TIRUCHIRAPPALLI(24),DURAI VAIKO,DURAI VAIKO,313094,Result Declared,S22,India
ARAKKONAM,7,ARAKKONAM(7),S JAGATHRATCHAKAN,S JAGATHRATCHAKAN,306559,Result Declared,S22,India
Malappuram,6,MALAPPURAM(6),E.T.  MOHAMMED BASHEER,E.T.  MOHAMMED BASHEER,300118,Result Declared,S11,India
Anakapalle,5,ANAKAPALLE(5),C.M.RAMESH,C.M.RAMESH,296530,Result Declared,S01,India
Mathura,17,MATHURA(17),HEMAMALINI DHARMENDRA DEOL,HEMAMALINI DHARMENDRA DEOL,293407,Result Declared,S24,India
North-West Delhi,5,NORTH-WESTDELHI(5),YOGENDER CHANDOLIYA,YOGENDER CHANDOLIYA,290849,Result Declared,U05,India
Palamau,13,PALAMAU(13),VISHNU DAYAL RAM,VISHNU DAYAL RAM,288807,Result Declared,S27,India
Ahmedabad West,8,AHMEDABADWEST(8),DINESHBHAI MAKWANA (ADVOCATE),DINESHBHAI MAKWANA (ADVOCATE),286437,Result Declared,S06,India
Mandya,20,MANDYA(20),H.D. KUMARASWAMY,H.D. KUMARASWAMY,284620,Result Declared,S10,India
Vijayawada,12,VIJAYAWADA(12),KESINENI SIVANATH (CHINNI),KESINENI SIVANATH (CHINNI),282085,Result Declared,S01,India
ANANTNAG-RAJOURI,3,ANANTNAG-RAJOURI(3),MIAN ALTAF AHMAD,MIAN ALTAF AHMAD,281794,Result Declared,U08,India
Dibrugarh,13,DIBRUGARH(13),SARBANANDA SONOWAL,SARBANANDA SONOWAL,279321,Result Declared,S03,India
THENI,33,THENI(33),THANGA TAMILSELVAN,THANGA TAMILSELVAN,278825,Result Declared,S22,India
Bangalore South,26,BANGALORESOUTH(26),TEJASVI SURYA,TEJASVI SURYA,277083,Result Declared,S10,India
Narsapuram,9,NARSAPURAM(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),276802,Result Declared,S01,India
Hazaribagh,14,HAZARIBAGH(14),MANISH JAISWAL,MANISH JAISWAL,276686,Result Declared,S27,India
Bulandshahr,14,BULANDSHAHR(14),DR BHOLA SINGH,DR BHOLA SINGH,275134,Result Declared,S24,India
Tehri Garhwal,1,TEHRIGARHWAL(1),MALA RAJYA LAKSHMI SHAH,MALA RAJYA LAKSHMI SHAH,272493,Result Declared,S28,India
Raver,4,RAVER(4),KHADSE RAKSHA NIKHIL,KHADSE RAKSHA NIKHIL,272183,Result Declared,S13,India
Agra,18,AGRA(18),PROF S P SINGH BAGHEL,PROF S P SINGH BAGHEL,271294,Result Declared,S24,India
MAYILADUTHURAI,28,MAYILADUTHURAI(28),SUDHA R,SUDHA R,271183,Result Declared,S22,India
KHANDWA,28,KHANDWA(28),GYANESHWAR PATIL,GYANESHWAR PATIL,269971,Result Declared,S12,India
Bangalore Rural,23,BANGALORERURAL(23),DR C N MANJUNATH,DR C N MANJUNATH,269647,Result Declared,S10,India
Kachchh,1,KACHCHH(1),CHAVDA VINOD LAKHAMSHI,CHAVDA VINOD LAKHAMSHI,268782,Result Declared,S06,India
SIRSA,3,SIRSA(3),SELJA,SELJA,268497,Result Declared,S07,India
Silchar,8,SILCHAR(8),PARIMAL SUKLABAIDYA,PARIMAL SUKLABAIDYA,264311,Result Declared,S03,India
Surendranagar,9,SURENDRANAGAR(9),CHANDUBHAI CHHAGANBHAI SHIHORA,CHANDUBHAI CHHAGANBHAI SHIHORA,261617,Result Declared,S06,India
UDAIPUR,19,UDAIPUR(19),MANNA LAL RAWAT,MANNA LAL RAWAT,261608,Result Declared,S20,India
Chandrapur,13,CHANDRAPUR(13),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,260406,Result Declared,S13,India
Jamshedpur,9,JAMSHEDPUR(9),BIDYUT BARAN MAHATO,BIDYUT BARAN MAHATO,259782,Result Declared,S27,India
Bangalore North,24,BANGALORENORTH(24),SHOBHA KARANDLAJE,SHOBHA KARANDLAJE,259476,Result Declared,S10,India
Udupi Chikmagalur,15,UDUPICHIKMAGALUR(15),KOTA SRINIVAS POOJARY,KOTA SRINIVAS POOJARY,259175,Result Declared,S10,India
Jadavpur,22,JADAVPUR(22),SAYANI GHOSH,SAYANI GHOSH,258201,Result Declared,S25,India
POLLACHI,21,POLLACHI(21),ESWARASAMY K,ESWARASAMY K,252042,Result Declared,S22,India
KANGRA,1,KANGRA(1),DR RAJEEV BHARDWAJ,DR RAJEEV BHARDWAJ,251895,Result Declared,S08,India
Bargarh,1,BARGARH(1),PRADEEP PUROHIT,PRADEEP PUROHIT,251667,Result Declared,S18,India
Jalgaon,3,JALGAON(3),SMITA UDAY WAGH,SMITA UDAY WAGH,251594,Result Declared,S13,India
Guwahati,5,GUWAHATI(5),BIJULI KALITA MEDHI,BIJULI KALITA MEDHI,251090,Result Declared,S03,India
Ernakulam,12,ERNAKULAM(12),HIBI EDEN,HIBI EDEN,250385,Result Declared,S11,India
Vizianagaram,3,VIZIANAGARAM(3),APPALANAIDU KALISETTI,APPALANAIDU KALISETTI,249351,Result Declared,S01,India
Kaziranga,10,KAZIRANGA(10),KAMAKHYA PRASAD TASA,KAMAKHYA PRASAD TASA,248947,Result Declared,S03,India
Hathras,16,HATHRAS(16),ANOOP PRADHAN BALMIKI,ANOOP PRADHAN BALMIKI,247318,Result Declared,S24,India
BANSWARA,20,BANSWARA(20),RAJ KUMAR ROAT,RAJ KUMAR ROAT,247054,Result Declared,S20,India
Nellore,22,NELLORE(22),PRABHAKAR REDDY VEMIREDDY,PRABHAKAR REDDY VEMIREDDY,245902,Result Declared,S01,India
PALI,15,PALI(15),P. P. CHAUDHARY,P. P. CHAUDHARY,245351,Result Declared,S20,India
CHENNAI CENTRAL,4,CHENNAICENTRAL(4),DAYANIDHI MARAN,DAYANIDHI MARAN,244689,Result Declared,S22,India
Shimoga,14,SHIMOGA(14),B.Y.RAGHAVENDRA,B.Y.RAGHAVENDRA,243715,Result Declared,S10,India
NILGIRIS,19,NILGIRIS(19),RAJA A,RAJA A,240585,Result Declared,S22,India
RAIGARH,2,RAIGARH(2),RADHESHYAM RATHIYA,RADHESHYAM RATHIYA,240391,Result Declared,S26,India
Rajahmundry,8,RAJAHMUNDRY(8),DAGGUBATI PURANDHESHWARI,DAGGUBATI PURANDHESHWARI,239139,Result Declared,S01,India
Jamnagar,12,JAMNAGAR(12),POONAMBEN HEMATBHAI MAADAM,POONAMBEN HEMATBHAI MAADAM,238008,Result Declared,S06,India
DAUSA,11,DAUSA(11),MURARI LAL MEENA,MURARI LAL MEENA,237340,Result Declared,S20,India
ERODE,17,ERODE(17),K E PRAKASH,K E PRAKASH,236566,Result Declared,S22,India
Ponnani,7,PONNANI(7),DR. M.P ABDUSSAMAD SAMADANI,DR. M.P ABDUSSAMAD SAMADANI,235760,Result Declared,S11,India
Muzaffarpur,15,MUZAFFARPUR(15),RAJ BHUSHAN CHOUDHARY,RAJ BHUSHAN CHOUDHARY,234927,Result Declared,S04,India
Almora,3,ALMORA(3),AJAY TAMTA,AJAY TAMTA,234097,Result Declared,S28,India
TIRUVANNAMALAI,11,TIRUVANNAMALAI(11),"ANNADURAI, C.N.","ANNADURAI, C.N.",233931,Result Declared,S22,India
KARNAL,5,KARNAL(5),MANOHAR LAL,MANOHAR LAL,232577,Result Declared,S07,India
Bardoli,23,BARDOLI(23),PARBHUBHAI NAGARBHAI VASAVA,PARBHUBHAI NAGARBHAI VASAVA,230253,Result Declared,S06,India
Kakinada,6,KAKINADA(6),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),229491,Result Declared,S01,India
CHENNAI SOUTH,3,CHENNAISOUTH(3),T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,225945,Result Declared,S22,India
Karimnagar,3,KARIMNAGAR(3),BANDI SANJAY KUMAR,BANDI SANJAY KUMAR,225209,Result Declared,S29,India
Machilipatnam,11,MACHILIPATNAM(11),BALASHOWRY VALLABHANENI,BALASHOWRY VALLABHANENI,223179,Result Declared,S01,India
Barpeta,3,BARPETA(3),PHANI BHUSAN CHOUDHURY,PHANI BHUSAN CHOUDHURY,222351,Result Declared,S03,India
Bhongir,14,BHONGIR(14),CHAMALA KIRAN KUMAR REDDY,CHAMALA KIRAN KUMAR REDDY,222170,Result Declared,S29,India
Mainpuri,21,MAINPURI(21),DIMPLE YADAV,DIMPLE YADAV,221639,Result Declared,S24,India
KANCHEEPURAM,6,KANCHEEPURAM(6),SELVAM. G,SELVAM. G,221473,Result Declared,S22,India
Chatra,4,CHATRA(4),KALI CHARAN SINGH,KALI CHARAN SINGH,220959,Result Declared,S27,India
Chittoor(SC),25,CHITTOOR(SC)(25),DAGGUMALLA PRASADA RAO,DAGGUMALLA PRASADA RAO,220479,Result Declared,S01,India
Warangal,15,WARANGAL(15),KADIYAM KAVYA,KADIYAM KAVYA,220339,Result Declared,S29,India
Mayurbhanj,5,MAYURBHANJ(5),NABA CHARAN MAJHI,NABA CHARAN MAJHI,219334,Result Declared,S18,India
Uluberia,26,ULUBERIA(26),SAJDA AHMED,SAJDA AHMED,218673,Result Declared,S25,India
DHAR,25,DHAR(25),SAVITRI THAKUR,SAVITRI THAKUR,218665,Result Declared,S12,India
Thane,25,THANE(25),NARESH GANPAT MHASKE,NARESH GANPAT MHASKE,217011,Result Declared,S13,India
Barabanki,53,BARABANKI(53),TANUJ PUNIA,TANUJ PUNIA,215704,Result Declared,S24,India
VELLORE,8,VELLORE(8),DM KATHIR ANAND,DM KATHIR ANAND,215702,Result Declared,S22,India
Nagaon,9,NAGAON(9),PRADYUT BORDOLOI,PRADYUT BORDOLOI,212231,Result Declared,S03,India
Valsad,26,VALSAD(26),DHAVAL LAXMANBHAI PATEL,DHAVAL LAXMANBHAI PATEL,210704,Result Declared,S06,India
MADURAI,32,MADURAI(32),VENKATESAN S,VENKATESAN S,209409,Result Declared,S22,India
Kalyan,24,KALYAN(24),DR SHRIKANT EKNATH SHINDE,DR SHRIKANT EKNATH SHINDE,209144,Result Declared,S13,India
NAGAPATTINAM,29,NAGAPATTINAM(29),SELVARAJ V,SELVARAJ V,208957,Result Declared,S22,India
ARANI,12,ARANI(12),THARANIVENTHAN M S,THARANIVENTHAN M S,208766,Result Declared,S22,India
Bapatla (SC),15,BAPATLA(SC)(15),KRISHNA PRASAD TENNETI,KRISHNA PRASAD TENNETI,208031,Result Declared,S01,India
RATLAM,24,RATLAM(24),ANITA NAGARSINGH CHOUHAN,ANITA NAGARSINGH CHOUHAN,207232,Result Declared,S12,India
SIDHI,11,SIDHI(11),DR. RAJESH MISHRA,DR. RAJESH MISHRA,206416,Result Declared,S12,India
SIVAGANGA,31,SIVAGANGA(31),KARTI P CHIDAMBARAM,KARTI P CHIDAMBARAM,205664,Result Declared,S22,India
BARAMULLA,1,BARAMULLA(1),ABDUL RASHID SHEIKH,ABDUL RASHID SHEIKH,204142,Result Declared,U08,India
JALORE,18,JALORE(18),LUMBARAM,LUMBARAM,201543,Result Declared,S20,India
Lakhimpur,12,LAKHIMPUR(12),PRADAN BARUAH,PRADAN BARUAH,201257,Result Declared,S03,India
Mathurapur,20,MATHURAPUR(20),BAPI HALDAR,BAPI HALDAR,201057,Result Declared,S25,India
West Delhi,6,WESTDELHI(6),KAMALJEET SEHRAWAT,KAMALJEET SEHRAWAT,199013,Result Declared,U05,India
Birbhum,42,BIRBHUM(42),SATABDI ROY,SATABDI ROY,197650,Result Declared,S25,India
Khadoor Sahib,3,KHADOORSAHIB(3),AMRITPAL SINGH,AMRITPAL SINGH,197120,Result Declared,S19,India
TENKASI,37,TENKASI(37),DR RANI SRI KUMAR,DR RANI SRI KUMAR,196199,Result Declared,S22,India
REWA,10,REWA(10),JANARDAN MISHRA,JANARDAN MISHRA,193374,Result Declared,S12,India
KRISHNAGIRI,9,KRISHNAGIRI(9),GOPINATH K,GOPINATH K,192486,Result Declared,S22,India
Chamarajanagar,22,CHAMARAJANAGAR(22),SUNIL BOSE,SUNIL BOSE,188706,Result Declared,S10,India
Ananthapur,19,ANANTHAPUR(19),AMBICA G LAKSHMINARAYANA VALMIKI,AMBICA G LAKSHMINARAYANA VALMIKI,188555,Result Declared,S01,India
SRINAGAR,2,SRINAGAR(2),AGA SYED RUHULLAH MEHDI,AGA SYED RUHULLAH MEHDI,188416,Result Declared,U08,India
Samastipur,23,SAMASTIPUR(23),SHAMBHAVI,SHAMBHAVI,187251,Result Declared,S04,India
Kolkata Dakshin,23,KOLKATADAKSHIN(23),MALA ROY,MALA ROY,187231,Result Declared,S25,India
Ranaghat,13,RANAGHAT(13),JAGANNATH SARKAR,JAGANNATH SARKAR,186899,Result Declared,S25,India
CUDDALORE,26,CUDDALORE(26),M.K. VISHNUPRASAD,M.K. VISHNUPRASAD,185896,Result Declared,S22,India
Jhanjharpur,7,JHANJHARPUR(7),RAMPRIT MANDAL,RAMPRIT MANDAL,184169,Result Declared,S04,India
Palghar,22,PALGHAR(22),DR. HEMANT VISHNU SAVARA,DR. HEMANT VISHNU SAVARA,183306,Result Declared,S13,India
Ghatal,32,GHATAL(32),ADHIKARI DEEPAK (DEV),ADHIKARI DEEPAK (DEV),182868,Result Declared,S25,India
HAMIRPUR,3,HAMIRPUR(3),ANURAG SINGH THAKUR,ANURAG SINGH THAKUR,182357,Result Declared,S08,India
Eluru,10,ELURU(10),PUTTA MAHESH KUMAR,PUTTA MAHESH KUMAR,181857,Result Declared,S01,India
KANNIYAKUMARI,39,KANNIYAKUMARI(39),VIJAYAKUMAR (Alias) VIJAY VASANTH,VIJAYAKUMAR (Alias) VIJAY VASANTH,179907,Result Declared,S22,India
Darjeeling,4,DARJEELING(4),RAJU BISTA,RAJU BISTA,178525,Result Declared,S25,India
Belgaum,2,BELGAUM(2),JAGADISH SHETTAR,JAGADISH SHETTAR,178437,Result Declared,S10,India
Rajmahal,1,RAJMAHAL(1),VIJAY KUMAR HANSDAK,VIJAY KUMAR HANSDAK,178264,Result Declared,S27,India
Darbhanga,14,DARBHANGA(14),GOPAL JEE THAKUR,GOPAL JEE THAKUR,178156,Result Declared,S04,India
Jalandhar,4,JALANDHAR(4),CHARANJIT SINGH CHANNI,CHARANJIT SINGH CHANNI,175993,Result Declared,S19,India
Tumkur,19,TUMKUR(19),V. SOMANNA,V. SOMANNA,175594,Result Declared,S10,India
Srerampur,27,SRERAMPUR(27),KALYAN BANERJEE,KALYAN BANERJEE,174830,Result Declared,S25,India
Madhepura,13,MADHEPURA(13),DINESH CHANDRA YADAV,DINESH CHANDRA YADAV,174534,Result Declared,S04,India
BALAGHAT,15,BALAGHAT(15),BHARTI PARDHI,BHARTI PARDHI,174512,Result Declared,S12,India
Jhargram,33,JHARGRAM(33),KALIPADA SAREN (KHERWAL),KALIPADA SAREN (KHERWAL),174048,Result Declared,S25,India
FARIDABAD,10,FARIDABAD(10),KRISHAN PAL,KRISHAN PAL,172914,Result Declared,S07,India
Chevella,10,CHEVELLA(10),KONDA VISHWESHWAR REDDY,KONDA VISHWESHWAR REDDY,172897,Result Declared,S29,India
Sangrur,12,SANGRUR(12),GURMEET SINGH MEET HAYER,GURMEET SINGH MEET HAYER,172560,Result Declared,S19,India
Kannauj,42,KANNAUJ(42),AKHILESH YADAV,AKHILESH YADAV,170922,Result Declared,S24,India
Hajipur,21,HAJIPUR(21),CHIRAG PASWAN,CHIRAG PASWAN,170105,Result Declared,S04,India
Supaul,8,SUPAUL(8),DILESHWAR KAMAIT,DILESHWAR KAMAIT,169803,Result Declared,S04,India
Howrah,25,HOWRAH(25),PRASUN BANERJEE,PRASUN BANERJEE,169442,Result Declared,S25,India
Nalanda,29,NALANDA(29),KAUSHALENDRA KUMAR,KAUSHALENDRA KUMAR,169114,Result Declared,S04,India
Singhbhum,10,SINGHBHUM(10),JOBA MAJHI,JOBA MAJHI,168402,Result Declared,S27,India
Amethi,37,AMETHI(37),KISHORI LAL,KISHORI LAL,167196,Result Declared,S24,India
KARUR,23,KARUR(23),JOTHIMANI. S,JOTHIMANI. S,166816,Result Declared,S22,India
RAMANATHAPURAM,35,RAMANATHAPURAM(35),NAVASKANI K,NAVASKANI K,166782,Result Declared,S22,India
TIRUNELVELI,38,TIRUNELVELI(38),ROBERT BRUCE C,ROBERT BRUCE C,165620,Result Declared,S22,India
Berhampur,20,BERHAMPUR(20),DR. PRADEEP KUMAR PANIGRAHY,DR. PRADEEP KUMAR PANIGRAHY,165476,Result Declared,S18,India
Pilibhit,26,PILIBHIT(26),JITIN PRASADA,JITIN PRASADA,164935,Result Declared,S24,India
BILASPUR,5,BILASPUR(5),TOKHAN SAHU,TOKHAN SAHU,164558,Result Declared,S26,India
Murshidabad,11,MURSHIDABAD(11),ABU TAHER KHAN,ABU TAHER KHAN,164215,Result Declared,S25,India
Haridwar,5,HARIDWAR(5),TRIVENDRA SINGH RAWAT,TRIVENDRA SINGH RAWAT,164056,Result Declared,S28,India
Garhwal,2,GARHWAL(2),ANIL BALUNI,ANIL BALUNI,163503,Result Declared,S28,India
Chikkballapur,27,CHIKKBALLAPUR(27),DR.K.SUDHAKAR,DR.K.SUDHAKAR,163460,Result Declared,S10,India
Ghosi,70,GHOSI(70),RAJEEV RAI,RAJEEV RAI,162943,Result Declared,S24,India
