Constituency,Const. No.,Parliament Constituency,Leading Candidate,Leading Candidate,Margin,Status,State ID,Country
Chitradurga,18,CHITRADURGA(18),GOVIND MAKTHAPPA KARJOL,GOVIND MAKTHAPPA KARJOL,48121,Result Declared,S10,India
Ratnagiri- Sindhudurg,46,RATNAGIRI-SINDHUDURG(46),NARAYAN TATU RANE,NARAYAN TATU RANE,47858,Result Declared,S13,India
Kanthi,31,KANTHI(31),ADHIKARI SOUMENDU,ADHIKARI SOUMENDU,47764,Result Declared,S25,India
Koppal,8,KOPPAL(8),K. RAJASHEKAR BASAVARAJ HITNAL,K. RAJASHEKAR BASAVARAJ HITNAL,46357,Result Declared,S10,India
Gonda,59,GONDA(59),KIRTIVARDHAN SINGH,KIRTIVARDHAN SINGH,46224,Result Declared,S24,India
Zahirabad,5,ZAHIRABAD(5),SURESH KUMAR SHETKAR,SURESH KUMAR SHETKAR,46188,Result Declared,S29,India
RAJNANDGAON,6,RAJNANDGAON(6),SANTOSH PANDEY,SANTOSH PANDEY,44411,Result Declared,S26,India
Akbarpur,44,AKBARPUR(44),DEVENDRA SINGH ALIAS BHOLE SINGH,DEVENDRA SINGH ALIAS BHOLE SINGH,44345,Result Declared,S24,India
Hoshiarpur,5,HOSHIARPUR(5),DR. RAJ KUMAR CHABBEWAL,DR. RAJ KUMAR CHABBEWAL,44111,Result Declared,S19,India
Bhadohi,78,BHADOHI(78),DR. VINOD KUMAR BIND,DR. VINOD KUMAR BIND,44072,Result Declared,S24,India
Haveri,10,HAVERI(10),BASAVARAJ BOMMAI,BASAVARAJ BOMMAI,43513,Result Declared,S10,India
Fatehpur Sikri,19,FATEHPURSIKRI(19),RAJKUMAR CHAHAR,RAJKUMAR CHAHAR,43405,Result Declared,S24,India
Ballia,72,BALLIA(72),SANATAN PANDEY,SANATAN PANDEY,43384,Result Declared,S24,India
KORBA,4,KORBA(4),JYOTSNA CHARANDAS MAHANT,JYOTSNA CHARANDAS MAHANT,43283,Result Declared,S26,India
Sultanpur,38,SULTANPUR(38),RAMBHUAL NISHAD,RAMBHUAL NISHAD,43174,Result Declared,S24,India
Domariyaganj,60,DOMARIYAGANJ(60),JAGDAMBIKA PAL,JAGDAMBIKA PAL,42728,Result Declared,S24,India
Hassan,16,HASSAN(16),SHREYAS. M. PATEL,SHREYAS. M. PATEL,42649,Result Declared,S10,India
NAGAUR,14,NAGAUR(14),HANUMAN BENIWAL,HANUMAN BENIWAL,42225,Result Declared,S20,India
KOTA,24,KOTA(24),OM BIRLA,OM BIRLA,41974,Result Declared,S20,India
BHIWANI-MAHENDRAGARH,8,BHIWANI-MAHENDRAGARH(8),DHARAMBIR SINGH,DHARAMBIR SINGH,41510,Result Declared,S07,India
Jagatsinghpur,16,JAGATSINGHPUR(16),BIBHU PRASAD TARAI,BIBHU PRASAD TARAI,40696,Result Declared,S18,India
Akola,6,AKOLA(6),ANUP SANJAY DHOTRE,ANUP SANJAY DHOTRE,40626,Result Declared,S13,India
Amritsar,2,AMRITSAR(2),GURJEET SINGH AUJLA,GURJEET SINGH AUJLA,40301,Result Declared,S19,India
Coochbehar,1,COOCHBEHAR(1),JAGADISH CHANDRA BARMA BASUNIA,JAGADISH CHANDRA BARMA BASUNIA,39250,Result Declared,S25,India
Medak,6,MEDAK(6),MADHAVANENI RAGHUNANDAN RAO,MADHAVANENI RAGHUNANDAN RAO,39139,Result Declared,S29,India
Mirzapur,79,MIRZAPUR(79),ANUPRIYA PATEL,ANUPRIYA PATEL,37810,Result Declared,S24,India
Bijnor,4,BIJNOR(4),CHANDAN CHAUHAN,CHANDAN CHAUHAN,37508,Result Declared,S24,India
Bhandara Gondiya,11,BHANDARAGONDIYA(11),DR. PRASHANT YADAORAO PADOLE,DR. PRASHANT YADAORAO PADOLE,37380,Result Declared,S13,India
Machhlishahr,74,MACHHLISHAHR(74),PRIYA SAROJ,PRIYA SAROJ,35850,Result Declared,S24,India
Unnao,33,UNNAO(33),SWAMI SACHCHIDANAND HARI SAKSHI,SWAMI SACHCHIDANAND HARI SAKSHI,35818,Result Declared,S24,India
Maharajganj,63,MAHARAJGANJ(63),PANKAJ CHAUDHARY,PANKAJ CHAUDHARY,35451,Result Declared,S24,India
Bhubaneswar,18,BHUBANESWAR(18),APARAJITA SARANGI,APARAJITA SARANGI,35152,Result Declared,S18,India
Badaun,23,BADAUN(23),ADITYA YADAV,ADITYA YADAV,34991,Result Declared,S24,India
Deoria,66,DEORIA(66),SHASHANK MANI,SHASHANK MANI,34842,Result Declared,S24,India
Bareilly,25,BAREILLY(25),CHHATRA PAL SINGH GANGWAR,CHHATRA PAL SINGH GANGWAR,34804,Result Declared,S24,India
Kheri,28,KHERI(28),UTKARSH VERMA 'MADHUR',UTKARSH VERMA 'MADHUR',34329,Result Declared,S24,India
Fatehgarh Sahib,8,FATEHGARHSAHIB(8),AMAR SINGH,AMAR SINGH,34202,Result Declared,S19,India
Misrikh,32,MISRIKH(32),ASHOK KUMAR RAWAT,ASHOK KUMAR RAWAT,33406,Result Declared,S24,India
Fatehpur,49,FATEHPUR(49),NARESH CHANDRA UTTAM PATEL,NARESH CHANDRA UTTAM PATEL,33199,Result Declared,S24,India
Bankura,36,BANKURA(36),ARUP CHAKRABORTY,ARUP CHAKRABORTY,32778,Result Declared,S25,India
Satara,45,SATARA(45),SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,32771,Result Declared,S13,India
Bangalore central,25,BANGALORECENTRAL(25),P C MOHAN,P C MOHAN,32707,Result Declared,S10,India
Patan,3,PATAN(3),DABHI  BHARATSINHJI  SHANKARJI,DABHI  BHARATSINHJI  SHANKARJI,31876,Result Declared,S06,India
Arunachal East,2,ARUNACHALEAST(2),TAPIR GAO,TAPIR GAO,30421,Result Declared,S02,India
Banaskantha,2,BANASKANTHA(2),GENIBEN NAGAJI THAKOR,GENIBEN NAGAJI THAKOR,30406,Result Declared,S06,India
Buxar,33,BUXAR(33),SUDHAKAR SINGH,SUDHAKAR SINGH,30091,Result Declared,S04,India
Mumbai North East,28,MUMBAINORTHEAST(28),SANJAY DINA PATIL,SANJAY DINA PATIL,29861,Result Declared,S13,India
Buldhana,5,BULDHANA(5),JADHAV PRATAPRAO GANPATRAO,JADHAV PRATAPRAO GANPATRAO,29479,Result Declared,S13,India
Sheohar,4,SHEOHAR(4),LOVELY ANAND,LOVELY ANAND,29143,Result Declared,S04,India
NAMAKKAL,16,NAMAKKAL(16),MATHESWARAN V S,MATHESWARAN V S,29112,Result Declared,S22,India
KURUKSHETRA,2,KURUKSHETRA(2),NAVEEN JINDAL,NAVEEN JINDAL,29021,Result Declared,S07,India
Ahmednagar,37,AHMEDNAGAR(37),NILESH DNYANDEV LANKE,NILESH DNYANDEV LANKE,28929,Result Declared,S13,India
Amroha,9,AMROHA(9),KANWAR SINGH TANWAR,KANWAR SINGH TANWAR,28670,Result Declared,S24,India
Etah,22,ETAH(22),DEVESH SHAKYA,DEVESH SHAKYA,28052,Result Declared,S24,India
Ladakh,1,LADAKH(1),MOHMAD HANEEFA,MOHMAD HANEEFA,27862,Result Declared,U09,India
Hardoi,31,HARDOI(31),JAI PRAKASH,JAI PRAKASH,27856,Result Declared,S24,India
Gulbarga,5,GULBARGA(5),RADHAKRISHNA,RADHAKRISHNA,27205,Result Declared,S10,India
Medinipur,34,MEDINIPUR(34),JUNE MALIAH,JUNE MALIAH,27191,Result Declared,S25,India
Davanagere,13,DAVANAGERE(13),DR. PRABHA MALLIKARJUN,DR. PRABHA MALLIKARJUN,26094,Result Declared,S10,India
Muzaffarnagar,3,MUZAFFARNAGAR(3),HARENDRA SINGH MALIK,HARENDRA SINGH MALIK,24672,Result Declared,S24,India
Andaman & Nicobar Islands,1,ANDAMAN&NICOBARISLANDS(1),BISHNU PADA RAY,BISHNU PADA RAY,24396,Result Declared,U01,India
Purnia,12,PURNIA(12),RAJESH RANJAN ALIAS PAPPU YADAV,RAJESH RANJAN ALIAS PAPPU YADAV,23847,Result Declared,S04,India
Dumka,2,DUMKA(2),NALIN SOREN,NALIN SOREN,22527,Result Declared,S27,India
SONIPAT,6,SONIPAT(6),SATPAL BRAHAMCHARI,SATPAL BRAHAMCHARI,21816,Result Declared,S07,India
Chandauli,76,CHANDAULI(76),BIRENDRA SINGH,BIRENDRA SINGH,21565,Result Declared,S24,India
Kandhamal,13,KANDHAMAL(13),SUKANTA KUMAR PANIGRAHI,SUKANTA KUMAR PANIGRAHI,21371,Result Declared,S18,India
DHARMAPURI,10,DHARMAPURI(10),MANI. A.,MANI. A.,21300,Result Declared,S22,India
Kanpur,43,KANPUR(43),RAMESH AWASTHI,RAMESH AWASTHI,20968,Result Declared,S24,India
Ludhiana,7,LUDHIANA(7),AMRINDER SINGH RAJA WARRING,AMRINDER SINGH RAJA WARRING,20942,Result Declared,S19,India
Alathur,9,ALATHUR(9),K.RADHAKRISHNAN,K.RADHAKRISHNAN,20111,Result Declared,S11,India
Araria,9,ARARIA(9),PRADEEP KUMAR SINGH,PRADEEP KUMAR SINGH,20094,Result Declared,S04,India
Amravati,7,AMRAVATI(7),BALWANT BASWANT WANKHADE,BALWANT BASWANT WANKHADE,19731,Result Declared,S13,India
Sasaram,34,SASARAM(34),MANOJ KUMAR,MANOJ KUMAR,19157,Result Declared,S04,India
Karimganj,7,KARIMGANJ(7),KRIPANATH MALLAH,KRIPANATH MALLAH,18360,Result Declared,S03,India
JHUNJHUNU,4,JHUNJHUNU(4),BRIJENDRA SINGH OLA,BRIJENDRA SINGH OLA,18235,Result Declared,S20,India
Purulia,35,PURULIA(35),JYOTIRMAY SINGH MAHATO,JYOTIRMAY SINGH MAHATO,17079,Result Declared,S25,India
Mumbai North Central,29,MUMBAINORTHCENTRAL(29),GAIKWAD VARSHA EKNATH,GAIKWAD VARSHA EKNATH,16514,Result Declared,S13,India
Thiruvananthapuram,20,THIRUVANANTHAPURAM(20),SHASHI THAROOR,SHASHI THAROOR,16077,Result Declared,S11,India
Aonla,24,AONLA(24),NEERAJ MAURYA,NEERAJ MAURYA,15969,Result Declared,S24,India
Aligarh,15,ALIGARH(15),SATISH KUMAR GAUTAM,SATISH KUMAR GAUTAM,15647,Result Declared,S24,India
Patiala,13,PATIALA(13),DR DHARAMVIRA GANDHI,DR DHARAMVIRA GANDHI,14831,Result Declared,S19,India
Thirupathi(SC),23,THIRUPATHI(SC)(23),GURUMOORTHY MADDILA,GURUMOORTHY MADDILA,14569,Result Declared,S01,India
Saran,20,SARAN(20),RAJIV PRATAP RUDY,RAJIV PRATAP RUDY,13661,Result Declared,S04,India
South Goa,2,SOUTHGOA(2),CAPTAIN  VIRIATO FERNANDES,CAPTAIN  VIRIATO FERNANDES,13535,Result Declared,S05,India
Hatkanangale,48,HATKANANGALE(48),DHAIRYASHEEL SAMBHAJIRAO MANE,DHAIRYASHEEL SAMBHAJIRAO MANE,13426,Result Declared,S13,India
Mavelikkara,16,MAVELIKKARA(16),KODIKUNNIL SURESH,KODIKUNNIL SURESH,10868,Result Declared,S11,India
Anandpur Sahib,6,ANANDPURSAHIB(6),MALVINDER SINGH KANG,MALVINDER SINGH KANG,10846,Result Declared,S19,India
Meerut,10,MEERUT(10),ARUN GOVIL,ARUN GOVIL,10585,Result Declared,S24,India
Balurghat,6,BALURGHAT(6),SUKANTA MAJUMDAR,SUKANTA MAJUMDAR,10386,Result Declared,S25,India
Beed,39,BEED(39),BAJRANG MANOHAR SONWANE,BAJRANG MANOHAR SONWANE,6553,Result Declared,S13,India
Arambagh,29,ARAMBAGH(29),BAG MITALI,BAG MITALI,6399,Result Declared,S25,India
Daman & Diu,1,DAMAN&DIU(1),PATEL UMESHBHAI BABUBHAI,PATEL UMESHBHAI BABUBHAI,6225,Result Declared,U03,India
Bishnupur,37,BISHNUPUR(37),KHAN SAUMITRA,KHAN SAUMITRA,5567,Result Declared,S25,India
Mahbubnagar,11,MAHBUBNAGAR(11),ARUNA. D. K,ARUNA. D. K,4500,Result Declared,S29,India
Dhaurahra,29,DHAURAHRA(29),ANAND BHADAURIYA,ANAND BHADAURIYA,4449,Result Declared,S24,India
VIRUDHUNAGAR,34,VIRUDHUNAGAR(34),MANICKAM TAGORE B,MANICKAM TAGORE B,4379,Result Declared,S22,India
Phulpur,51,PHULPUR(51),PRAVEEN PATEL,PRAVEEN PATEL,4332,Result Declared,S24,India
Dhule,2,DHULE(2),BACHHAV SHOBHA DINESH,BACHHAV SHOBHA DINESH,3831,Result Declared,S13,India
Salempur,71,SALEMPUR(71),RAMASHANKAR RAJBHAR,RAMASHANKAR RAJBHAR,3573,Result Declared,S24,India
Firozpur,10,FIROZPUR(10),SHER SINGH GHUBAYA,SHER SINGH GHUBAYA,3242,Result Declared,S19,India
Bansgaon,67,BANSGAON(67),KAMLESH PASWAN,KAMLESH PASWAN,3150,Result Declared,S24,India
Farrukhabad,40,FARRUKHABAD(40),MUKESH RAJPUT,MUKESH RAJPUT,2678,Result Declared,S24,India
Lakshadweep,1,LAKSHADWEEP(1),MUHAMMED HAMDULLAH SAYEED,MUHAMMED HAMDULLAH SAYEED,2647,Result Declared,U06,India
Hamirpur,47,HAMIRPUR(47),AJENDRA SINGH LODHI,AJENDRA SINGH LODHI,2629,Result Declared,S24,India
Chandigarh,1,CHANDIGARH(1),MANISH TEWARI,MANISH TEWARI,2504,Result Declared,U02,India
KANKER,11,KANKER(11),BHOJRAJ NAG,BHOJRAJ NAG,1884,Result Declared,S26,India
JAIPUR RURAL,6,JAIPURRURAL(6),RAO RAJENDRA SINGH,RAO RAJENDRA SINGH,1615,Result Declared,S20,India
Jajpur,8,JAJPUR(8),RABINDRA NARAYAN BEHERA,RABINDRA NARAYAN BEHERA,1587,Result Declared,S18,India
Attingal,19,ATTINGAL(19),ADV ADOOR PRAKASH,ADV ADOOR PRAKASH,684,Result Declared,S11,India
Mumbai North West,27,MUMBAINORTHWEST(27),RAVINDRA DATTARAM WAIKAR,RAVINDRA DATTARAM WAIKAR,48,Result Declared,S13,India
